,Predict,answer,factual,Domain
14,"Antigen-presenting cells are characterized by a combination of antigen-presenting cells, such as serum IgG and mucosal SIgA. These cells are characterized by their ability to produce antigens, which",antigen-presenting cells serum IgG and mucosal SIgA,False,Covid
15,"The genetic triplet code is a complex complex of RNAs that are a combination of RNAs and RNAs. The circular single-stranded RNAs encode a variety of proteins, including proteins, proteins",circular single-stranded RNAs the genetic triplet code and do not encode proteins,False,Covid
16,"Lopinavir/Ritonavir and Interferon Beta 1B are used to treat a variety of diseases, including AIDS, AIDS, and AIDS. The study focuses on the effects of Lopina",It investigates the usage of Lopinavir/Ritonavir and Interferon Beta 1B. Most studies on SARS and MERS vaccines were excluded as they were performed in cell or animal models,False,Covid
17,"The anal swab cohort was characterized by a high incidence of severe symptoms, with 8 of them (72.7%) being diagnosed with severe symptoms. The anal swab cohort was characterized by a","In the anal swab cohort (Figure 1 (B)), 11 of 28 cases were detected to be anal swab positive, 8 of them (72.7%) were with severe symptoms, which was significantly higher than that 4 (23.5%) of the rest 17 cases without detectable virus in anal were severe cases In the 57, 6 cases were detected to be blood positive, all of them (100%) were severe in symptom requiring special care attention, and the blood of the rest 51 cases was without detectable virus in the blood, only 12 of them (23.5%) were severe cases.",False,Covid
18,"The enzymatic activity of the two RNases is compared, and the physiological consequences of their activation are discussed. The potential anti-virus activity of inositol-requiring enzyme 1 (II) is","comparison of the enzymatic activity of the two RNases followed by deliberations on the physiological consequences of their activation. the potential anti-virus activity of inositol-requiring enzyme 1 (IRE1), a well characterized effector of the cellular homeostatic response to an overloading of the endoplasmic reticulum (ER) protein-folding capacity. IRE1, an ER-membrane-resident ribonuclease (RNase), upon activation catalyses regulated cleavage of select protein-coding and non-coding host RNAs, using an RNase domain which is homologous to that of the known anti-viral effector RNaseL.",False,Covid
19,The severe acute respiratory syndrome coronavirus is a rare and endemic respiratory syndrome that affects the respiratory system in Hubei province. It is a chronic respiratory syndrome that affects the respiratory system in Hubei province. It,"severe acute respiratory syndrome coronavirus 2 Wuhan, capital of Hubei Province, China",False,Covid
20,The HepaRG cells were found to express NPCT but not to be infected. The majority of HepaRG cells were found to express NPCT but not to be infected. The majority of Hep,not sufficient the majority of HepaRG cells were found to express NPCT but not to be infected,False,Covid
21,You can view different branches of an advancement tree by clicking and dragging the tree. This allows you to explore the various advancements and their relationships within each tree. The tabs in the advancement system in Minecraft are the tabs in the Minecraft,"In Minecraft, you can view different branches of an advancement tree by clicking and dragging the tree. This allows you to explore the various advancements and their relationships within each tree. The tabs in the advancement system in Minecraft are ordered from left to right based on when the first advancement in each tab was made.",False,Minecraft
22,"You can create cauldrons in Minecraft, but you can also create a cauldron that holds milk, honey, or any food items that exist in bowls, including mushroom stew, beetroot soup, rabbit stew,","In Minecraft, cauldrons cannot hold milk, honey, or any food items that exist in bowls, including mushroom stew, beetroot soup, rabbit stew, and suspicious stew. In Minecraft, you can create a cauldron filled with potions by brewing potions in the cauldron. To change the color of the water, you can add different dyes to the cauldron water. For example, you can add a blue dye to create blue water, or a red dye to create red water. You can also experiment with different combinations of dyes to create unique colors. Additionally, you can use a mod to enable the ability to brew potions in the cauldron in earlier versions of the game, such as Beta 1.9 Pre-Release 2.",False,Minecraft
23,"The tutorial hints are a series of tabs that appear in the right-hand corner of the player's screen to guide new players who may not know the controls. Each hint provides a description of the controls, and the player","In Survival mode, tutorial hints are a series of tabs that appear in the right-hand corner of the player's screen to guide new players who may not know the controls, with each hint providing a description of how to complete a specific task and an image to describe it. The tutorial hints in Minecraft are stored in the options.txt file.",False,Minecraft
24,"The badlands biome variants in Minecraft have unique characteristics that affect the generation of terracotta bands. For example, the terracotta bands are made up of a combination of terracotta, terracotta","In Minecraft, the different badlands biome variants (badlands, wooded badlands, and eroded badlands) all have unique characteristics that affect the generation of terracotta bands. For example, the badlands biome tends to have more frequent and longer terracotta bands, while the wooded badlands biome has shorter and less frequent terracotta bands. The eroded badlands biome, on the other hand, has a mix of both. Additionally, the removed variants (badlands plateau, modified badlands plateau, and modified wooded badlands plateau) also had unique terracotta band generation patterns that are no longer present in the current game version. In the eroded badlands biome, unique formations of terracotta hoodoos, narrow spires that rise up from the red sand floor of the biome's drainage basins, can be found.",False,Minecraft
25,"The Fancy Graphics in Minecraft is a game that aims to strike a balance between performance and quality, taking into account the capabilities of most machines to ensure a smooth gaming experience. In Minecraft, the FOV value represents how","Fancy graphics in Minecraft aims to strike a balance between performance and quality, taking into account the capabilities of most machines to ensure a smooth gaming experience. In Minecraft, the FOV value represents how many degrees of vertical vision the player gets without modifying effects such as sprinting, flying or status effects. The table below shows how Minecraft's FOV setting affects horizontal field of view in different display aspect ratios.",False,Minecraft
26,The difference in sound effects is due to the fact that the Java Edition uses a different sound effect. The difference in sound effects is due to the fact that the Java Edition uses a different sound effect. The difference in sound effects is due,"In the Bedrock Edition of Minecraft, a unique sound effect plays when a player places a bed, whereas in the Java Edition, a different sound effect is used. This difference in sound effects is due to the distinct audio assets used in each edition, resulting in a distinct auditory experience for players. A cake is broken when pushed by a piston, and it drops nothing.",False,Minecraft
27,answer answer answer answer answer answer answer answer answer answer,{answer} {answer},False,Minecraft
28,"The Stone texture was added in the pre-classic era, and it was the first texture to be added in Minecraft. The Stone texture was added in the early days of Minecraft. The Stone texture was added in the early days of Minecraft","The Calibrated Sculk Sensor top uses the ""Root Vines"" texture in Minecraft. The first texture to be added to Minecraft in the pre-classic era was the Stone texture, which was added in version rd-131655.",False,Minecraft
29,"The durability of a wooden sword decreases by 1 when the player uses an attack action while holding it. A wooden sword can be repaired in an anvil by adding wood planks of any kind, with the player using wood plank","In Minecraft, the durability of a wooden sword decreases by 1 when the player uses an attack action while holding it. A wooden sword can be repaired in an anvil by adding wood planks of any kind, with each repair material restoring 25% the sword's maximum durability, rounded down.",False,Minecraft
30,"Notch introduced the feature to display the game's version number in the top left corner of the screen in Minecraft. In Minecraft, entity.hanging.place is used to set the initial position of the entity. The first time Notch","In Classic 0.0.2a, Notch first introduced the feature to display the game's version number in the top left corner of the screen. In Minecraft, entity.hanging.place is used to set the initial position of a hanging entity, such as a painting or a lantern, while entity.hanging.pop is used to remove a hanging entity from the game world.",False,Minecraft
31,You can use the '/screenshots' command to create a unique screenshot in the gallery by using the '/screenshots' command. You can also use the '/screenshots' command to specify ,"In Minecraft, you can create a unique screenshot in the gallery by using the '/screenshots' command and specifying a custom title, description, and tags. To showcase your creative inventory management skills, you can arrange your items in a visually appealing way, use item frames to create a collage, or even build a miniature scene within your inventory. For example, you can create a ""Stomach Inventory"" scene by arranging food items in a stomach-shaped pattern, as seen in the screenshot taken during the Java Edition Indev 0.31 development phase. In Minecraft's creative mode, non-player entities such as Minecarts, Boats, and Blazes have their own inventory-like windows that pop up to allow manipulation of items.",False,Minecraft
32,                        ,{answer} {},False,Minecraft
33,"The amethyst block is a crucial component of wireless signal transmission in Minecraft, as it is used to transmit signals through a calibrated sculk sensor. The amethyst block is a","In Minecraft, when an amethyst block is placed adjacent to a sculk sensor or a calibrated sculk sensor, it plays a crucial role in wireless signal transmission. The sculk sensor receives a vibration, which is then re-emitted as a separate vibration by the amethyst block at its location. This vibration can be detected by another sculk sensor, allowing the creation of a chain of sculk sensors and amethyst blocks to transmit a signal wirelessly. This feature enables the transmission of information over long distances without the need for physical connections, making it an essential component in various Minecraft builds and contraptions. According to the Bedrock Edition documentation, it is recommended to report issues related to the ""Block of Amethyst"" on the bug tracker, specifically on the page dedicated to issues relating to this topic.",False,Minecraft
34,The mob will have the same characteristics as the adult mob.,"{answer} If the mob has a baby form, the egg will spawn a baby version of the mob, with the same characteristics as the adult mob.",False,Minecraft
35,"The command syntax in Minecraft is based on a resource location or a tag, which is resolved during command execution into an entry or tag in the correct registry. In the Bedrock Edition of Minecraft, the valid type of output is ","A valid type of output in the Minecraft command syntax is a resource location or a tag, which is resolved during command execution into an entry or tag in the correct registry. In the Bedrock Edition of Minecraft, the valid set of CommandCompareOperator values is one of &lt;, &lt;=, =, &gt;=, and &gt;.",False,Minecraft
36,"The title suggests a reversal of the traditional narrative, highlighting Africa's role in European history. The article challenges the traditional narrative by highlighting instances where Africans discovered and interacted with Europe. The article challenges the traditional","The significance of the title suggests a reversal of the traditional narrative, highlighting Africa's role in European history. The article challenges the traditional narrative by highlighting instances where Africans discovered and interacted with Europe, rather than the other way around.",False,AfricaHistory
37,"The article addresses misconceptions such as the idea of African military inferiority, the notion of 'Merrie Africa' being peaceful, and the oversimplification of internal conflicts as mere 'tribal clashes'. The","The article addresses misconceptions such as the idea of African military inferiority, the notion of 'Merrie Africa' being peaceful, and the oversimplification of internal conflicts as mere 'tribal clashes'. Common weaponry included bows, lances, swords, and later muskets. Military divisions typically consisted of cavalry, infantry, and naval forces, with cavalry often being the most prestigious.",False,AfricaHistory
38,The origin of the travel and exchanges in Africa is a matter of debate. The introduction of the camel at the start of the middle ages is a debate that has been largely ignored by scholars. The introduction of the came,"The debate among scholars is about when Trans-Saharan travel and exchanges began, with most scholars asserting that it started with the introduction of the camel at the start of the middle ages, while others claim that wheeled chariots were crossing the Sahara during the age of the Romans and the Carthaginians. Trans-Saharan travel and exchanges proceeded by regional stages, with the eventual long-distance transport being accomplished by numerous local exchanges. The societies and economies of Saharan communities were largely sustained by local resources and regional trade, rather than depending on tolls from long-distance trade.",False,AfricaHistory
39,"Hegel's philosophical ideas suggested that Africa was a stagnant continent, which provided a rationale for European powers to colonize and exploit it. Hegel's deliberate ignorance of African history legitimized the colonization of African","Hegel's philosophical ideas suggested that Africa was a stagnant continent, which provided a rationale for European powers to colonize and exploit it. Hegel's deliberate ignorance of African history legitimized the colonization of Africa.",False,AfricaHistory
40,"Igbo Ukwu art is a representation of the African continent, with snakes, leopards, and elephants being the most commonly used animals. They were often depicted as symbols of power, strength, and","The animals depicted in Igbo Ukwu art, such as snakes, leopards, and elephants, were likely used to symbolize power, strength, and fertility, and were often associated with the Eze Nri office and the Nri kingdom. The skeuomorphic features in Igbo Ukwu art, such as the rendering of innate features of one material form in another, likely served a twofold purpose: to indicate the power of the object's owners to transform the meaning and appearance of everyday and prestige items, and to produce symbols of power and authority in more durable forms.",False,AfricaHistory
41,"Darfur was a kingdom of a small and largely independent nation, with a total population of 60,000. It was a province of the French Empire, which was a part of the French Empire. The provinces were","The basis of the administrative structure of the kingdom of Darfur was the quadrant division into provinces, each under a provincial governor. The kingdom of Darfur was nearly twice the size of France.",False,AfricaHistory
42,"Gao was the capital of the medieval kingdom of Gao from the 9th to the 13th century and later became the imperial capital of Songhay during the 16th century. The French occupied Gao in 1898, and Ga","Gao was the capital of the medieval kingdom of Gao from the 9th to the 13th century and later became the imperial capital of Songhay during the 16th century. The French occupied Gao in 1898, marking the start of its modern history.",False,AfricaHistory
43,"Musa is a Muslim, and Musa is a Muslim. Musa is a Muslim, and Musa is a Muslim. Musa is a Muslim, and Musa is a Muslim. Musa is ","Exaggerated claims include Musa traveling with an entourage of 60,000, and stories of him building mosques in every town he visited, which are considered fabrications. Claims suggest that Mansa Musa was accompanied by thousands of enslaved people, with some estimates reaching as high as 60,000.",False,AfricaHistory
44,"Kano was able to maintain some autonomy despite the pressures from Songhai and Kanem-Bornu, which led to Kano's independence from Songhai and Kanem-Bornu. Kan","Rumfa's reforms allowed Kano to maintain a degree of autonomy despite the pressures from Songhai and Kanem-Bornu, ultimately leading to Kano's independence from these empires. Trade was crucial as it attracted merchants and scholars to Kano, enhancing its economic status and allowing it to thrive despite external pressures.",False,AfricaHistory
45,The institutions were established by Kintu and his descendant Kimera. The Buganda kingdom was located along the northern shores of Lake Victoria in East Africa. Kintu and his descendant Kimera are credited with introducing,Kintu and his descendant Kimera are credited with introducing these institutions. The Buganda kingdom was located along the northern shores of Lake Victoria in East Africa.,False,AfricaHistory
46,"The history of medicine in Africa includes classical medicine based on humoral theory, theological medicine based on religious precedent, and pre-existing medical traditions of various African societies. The interaction of African cultures and religions led to the development","The history encompasses classical medicine based on humoral theory, theological medicine based on religious precedent, and pre-existing medical traditions of various African societies. The development of medical science in Africa involved the interaction of multiple streams of therapeutic tradition, including classical, theological, and pre-existing African medical traditions.",False,AfricaHistory
47,"Women scholars have a history of producing a variety of literature, including poetry, historical texts, religious writings, and works on statecraft and cultural norms. The perception of women scholars has evolved, with recent efforts to digitize manuscript","Women scholars produced a variety of literature, including poetry, historical texts, religious writings, and works on statecraft and cultural norms. The perception of women scholars has evolved, with recent efforts to digitize manuscripts and highlight their contributions, countering their historical invisibility.",False,AfricaHistory
48,"The Wadai kingdom was largely destroyed by French colonial forces and internal strife within the kingdom. The Maba ethnic group was the dominant force in the kingdom, and the Maba were the main reason for the decline","The fall of the Wadai kingdom was primarily due to the advancing French colonial forces and internal strife within the kingdom. The Wadai administration was dominated by the Maba ethnic group but included various other ethnicities, including former prisoners of war and migrants.",False,AfricaHistory
49,"The emergence of the Bornu empire and the arrival of nomadic Shuwa-Arab pastoralists in the 16th century altered the political landscape, leading to the formation of confederations among the city-states.","In the 16th century, the expansion of the Bornu empire and the arrival of nomadic Shuwa-Arab pastoralists altered the political landscape, leading to the formation of confederations among the city-states. The emergence of new expansionist states, such as the Wadai kingdom and the warlord Rabeh, reduced the autonomy of the Kotoko city-states, leading to occupation and conquest.",False,AfricaHistory
50,"Sapi ivory artworks are often characterized by a variety of motifs, including crocodiles, crocodiles, and scenes depicting local culture and rituals. The primary materials used by Sapi","Common motifs in Sapi ivory artworks include anthropomorphic and zoomorphic figures, crocodiles, and scenes depicting local culture and rituals. The primary materials used by Sapi artists in their ivory carvings included ivory, soapstone, and wood.",False,AfricaHistory
51,The jungle biomes are a natural habitat where trees are deposited and regenerated. The trees are a type of sandstone that can be found in the sandstone groves of the forest. The trees,Fallen jungle trees can be found in jungle biomes.,True,Minecraft
52,"The maximum number of note blocks that can be played simultaneously in Minecraft is 16 because the audio engine can handle up to 16 concurrent notes. Note blocks are limited to playing only one note at a time, and they can only play one note at","In the Java Edition of Minecraft, the maximum number of note blocks that can be played simultaneously is 16. This is because the game's audio engine can handle a maximum of 16 concurrent notes, and note blocks are limited to playing a single note at a time. However, it's worth noting that this limit can be bypassed using certain mods or custom code, which can allow for more complex and dynamic music and sound effects.",True,Minecraft
53,"The sound effect used to signify the breaking of a block is a distinct ""crunching"" sound, which is different from the ""tinkling"" sound used in Minecraft. The sound effect used to signify the breaking of","In the Bedrock Edition of Minecraft, the unique sound effect used to signify the breaking of a block is a distinct ""crunching"" sound, which is different from the ""tinkling"" sound used in the Java Edition. This difference is due to the distinct audio processing techniques used in each edition, with the Bedrock Edition employing a more realistic and immersive sound design.",True,Minecraft
54,"The exceptions to the rule are listed below this table, which means that there are no spawn eggs available for these mobs. The exceptions to the rule include: Survival mode is a game where you can play a game","In survival mode, the exceptions to the rule are listed below this table, which means that there are no spawn eggs available for these mobs.",True,Minecraft
55,The blue orchids are a rare sight in the world of a solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary ,"In Bedrock Edition, Endermen can pick up blue orchids.",True,Minecraft
56,"The Minecraft community was flooded with new features that allowed players to create and share custom maps with the community, which had a significant impact on the game's mapping ecosystem and paved the way for the development of complex and multi-dimensional","In August 2018, Minecraft introduced a new feature that allowed players to create and share custom maps with the community, which had a significant impact on the game's mapping ecosystem and paved the way for the development of complex and creative maps.",True,Minecraft
57,You can find a Fletching Table at a job site block where you can catch Raw Cod and Raw Salmon in the Java Edition of Minecraft. You can find it at a job site block where you can find a Flet,"In the Java Edition of Minecraft, you can find a Fletching Table at a job site block where you can catch Raw Cod and Raw Salmon.",True,Minecraft
58,"The plate can be used to detect mobs, items, and other entities by placing them on the ground and setting up a redstone contraption to trigger a specific action when the plate is stepped on. This is done","Pressure plates can be used to detect mobs, items, and other entities by placing them on the ground and setting up a redstone contraption to trigger a specific action when the plate is stepped on. Wooden pressure plates are more common and can be found in most biomes, while stone pressure plates are less common and can be found in caves and ravines. Both types of pressure plates work the same way, but stone pressure plates are more durable and can withstand more wear and tear.",True,Minecraft
59,"You can take a screenshot of a specific gallery item by opening the game's gallery, navigating to the item you want to capture, and pressing the ""F2"" key. This will automatically capture the item by clicking the ""","In Minecraft, you can take a screenshot of a specific gallery item by opening the game's gallery, navigating to the item you want to capture, and pressing the ""F2"" key. This will automatically capture a screenshot of the item and save it to your computer. You can also use the ""Print Screen"" button on your keyboard or the ""Ctrl + PrtScn"" keys to capture a screenshot, and then edit it using a photo editing software.",True,Minecraft
60,"It's important to prioritize your safety and the well-being of your bees. To minimize the risk of aggravating your bees, it's recommended to avoid aggravating your bees. It's","When faced with a swarm attack, it's essential to prioritize your safety and the well-being of your bees. To minimize the risk of aggravating your bees, it's recommended to quickly escape to a location where the bees cannot follow you. If this is not possible, standing still and allowing the bees to sting you quickly may be the best option. This approach reduces the risk of accidental harm to the bees, as each bee that stings successfully dies. Additionally, having a honey bottle on hand can help cure the sting damage. It's also crucial to maintain backup hives and spare flowers to ensure the survival of your bees in the event of a swarm attack.",True,Minecraft
61,A creeper can drop a random disc from the following pool: music discs are a set of sixteen items that can be played in jukeboxes. A creeper can drop a random disc from the following pool,"In a custom game world, a creeper can drop a random music disc from the following pool: music discs are a set of sixteen items that can be played in jukeboxes.",True,Minecraft
62,The probability of a baby panda dropping a slimeball when sneezing is 1 in 700. The probability of a baby panda dropping a slimeball when sneezing,"In Minecraft, the chance of a baby panda dropping a slimeball when sneezing is 1 in 700.",True,Minecraft
63,"The metadata 1 is based on spruce leaves, but it uses a crafting table's side textures instead of anything relevant to leaves, which could be explained through examination of terrain.png. The metadata 1 is","Metadata 1, corresponding to spruce leaves, uses a crafting table's side textures rather than anything relevant to leaves, which could be explained through examination of terrain.png.",True,Minecraft
64,The bed will drop itself as an object when pushed by a piston.,A bed will drop itself as an item when pushed by a piston.,True,Minecraft
65,The player cannot sprint-swim if the hunger bar is at 6 () or below.,The player cannot sprint-swim if the hunger bar is at 6 () or below.,True,Minecraft
66,"Noubadia emerged as a significant power after the collapse of Kush, providing stability and a new central authority in northeast Africa. This was a result of the collapse of Kush and the rise of the Arab Spring. The Arab","Noubadia emerged as a significant power following the collapse of Kush, providing stability and a new central authority in northeast Africa.",True,AfricaHistory
67,"The textile industry was a major contributor to the Sokoto Caliphate's economy, as it produced large quantities of cotton textiles that were exported to various parts of West Africa and beyond, generating significant revenue and employment opportunities","The textile industry in the Sokoto Caliphate contributed to the regional economy by producing large quantities of cotton textiles, which were exported to various parts of West Africa and beyond, generating significant revenue and employment opportunities.",True,AfricaHistory
68,"Noubadian rulers adopted certain cultural aspects from Byzantine Egypt, including the Greek script and Christianity, while integrating them into their local context. The Greek script was adopted by the Noubadian rulers as a way of ","Noubadian rulers adopted certain cultural aspects from Byzantine Egypt, including the Greek script and Christianity, while integrating them into their local context.",True,AfricaHistory
69,"The Aksumite Empire is a complex and complex complex of buildings, including monumental architecture, stone stelae, and palatial complexes. The Aksumite Empire is a complex and complex complex of","The Aksumite Empire is known for its monumental architecture, including large stone stelae, rock-cut tombs, and impressive palatial complexes.",True,AfricaHistory
70,"The main criticisms include an over-reliance on a few concepts, the assumption that land tenure was virtually non-existent, and the misapplication of theories that do not universally apply to all African societies. The main criticisms include an","The main criticisms include an over-reliance on a few concepts, the assumption that land tenure was virtually non-existent, and the misapplication of theories that do not universally apply to all African societies.",True,AfricaHistory
71,"The Aksumite Empire initiated early trade contacts, acting as a middleman in the Indo-Roman trade, and established trade routes that connected Africa with India and beyond. The Aksumite Empire established trade routes that connected Africa with","The Aksumite Empire initiated early trade contacts, acting as a middleman in the Indo-Roman trade, and established trade routes that connected Africa with India and beyond.",True,AfricaHistory
72,"Raffia cloth was a valuable commodity in the Kingdom of Kongo, used as a form of currency, for clothing, and as a symbol of social status. It was used as a form of currency, as well","Raffia cloth was a highly valued commodity in the Kingdom of Kongo, used as a form of currency, for clothing, and as a symbol of social status.",True,AfricaHistory
73,"Gold transshipment is a common practice in the mining industry. It involves the transportation of gold, as well as the export of soapstone, rice, and livestock. Gold transshipment involves the transportation of gold from one country to another","The transshipment of gold, and the export of soapstone, rice, and livestock",True,AfricaHistory
74,Diu is a sexy and sexy person. He is a sexy person. He is a sexy person. He is a sexy person. He is ,Diu.,True,AfricaHistory
75,"The Kingdom of Kush was important as it produced rulers, diplomats, and explorers who traveled across the Mediterranean and beyond. The Kingdom of Kush was significant as it produced rulers, diplomats, and explorers who","The Kingdom of Kush was significant as it produced rulers, diplomats, and explorers who traveled across the Mediterranean and beyond.",True,AfricaHistory
76,//,"The Portuguese played a significant role in the Rozvi kingdom's history, particularly during the 17th and 18th centuries. The kingdom interacted with European powers through trade and diplomacy, but also resisted European colonization and expansion.",True,AfricaHistory
77,"The African fortifications were a great defensive advantage, as they provided significant defensive advantages, making it difficult for attackers to succeed and often allowing defenders to be self-sufficient in provisions. The African fortifications","African fortifications, such as high walls and fortified cities, provided significant defensive advantages, making it difficult for attackers to succeed and often allowing defenders to be self-sufficient in provisions.",True,AfricaHistory
78,The Khoe-San communities were able to fight against colonial invasions in a series of wars. The Khoe-San were a group of ethnically diverse peoples who were able to,The Khoe-San communities fought a series of wars against the colonial invasions.,True,AfricaHistory
79,The Ndongo kingdom was founded in the highlands of modern Angola near the Atlantic coast. The kingdom was founded by the Portuguese who were a shrewd and ruthless explorers who fought for the,The kingdom of Ndongo was founded in the highlands of modern Angola near the Atlantic coast.,True,AfricaHistory
80,"Archeology is a crucial tool in reconstructing Africa's history, particularly in areas where written and oral histories are limited. It is crucial to understand the history of Africa, as it is crucial to understand the history of Africa. It","Archeology plays a central role in reconstructing Africa's history, especially in areas where written and oral histories are limited.",True,AfricaHistory
81,maternal viral load,"the small size of marmosets, their immune response to infection that is comparable to humans, and the ability to house more statistically relevant numbers within high containment",True,Covid
82,The resistance is higher than the resistance achieved by the RAS alone.,confers a higher level of resistance than the one achieved by the RAS alone,True,Covid
83,"The HA and NA molecules undergo a constant process of antigenic drift, a natural accumulation of mutations. The immunodominant portions of the HA and NA molecules undergo a constant process of antigenic drift, which involves","The immunodominant portions of the HA and NA molecules undergo a constant process of antigenic drift, a natural accumulation of mutations",True,Covid
84,Arthropods are a type of worm that is a type of worm that is a type of worm that is a type of worm that is a type of worm that is a type of,arthropod,True,Covid
85,Ribonucleic acid is a complex complex of ribonucleic acid that is characterized by a double-stranded ribonucleic acid. It is a complex complex of ribon,double-stranded ribonucleic acid,True,Covid
86,human herpesvirus,Pseudorabies (PRV) and Rabies viruses (RABV),True,Covid
87,"The average time taken to diagnose a disease is about 5–6 days, with an upper limit of 11-14 days [2,2], and delays from illness onset to laboratory confirmation added a further 10 days on average. The average time","around 5–6 days, with an upper limit of around 11-14 days [2,5], and delays from illness onset to laboratory confirmation added a further 10 days on average",True,Covid
88,"There are many strategies for at-risk populations, particularly those at both ends of the age spectrum. Here are some strategies that can help: 1. Identify and manage risk factors: Identify and manage risk factors, such as genetics, education","strategies for at-risk populations, particularly those at either end of the age spectrum",True,Covid
89,no date restriction applied,the region upstream of the ifitm5 gene lacks the interferon regulatory elements,True,Covid
90,The capsids are encapsulated in a single-stranded circular DNA genome. The capsids are a rod-shaped virus that is not enveloped. The capsids are a rod,"non-enveloped, rod-shaped viruses of Escherichia coli whose long helical capsids encapsulate a single-stranded circular DNA genome.",True,Covid
91,human herpesvirus,"large, non-segmented, positive sense and single stranded RNA animal viruses",True,Covid
92,"The curve of influenza deaths by age at death has been U-shaped for at least 150 years, exhibiting mortality peaks in both the very young and the very old, with mortality peaks in the very young and the very old. The","The curve of inﬂuenza deaths by age at death has histor-
ically, for at least 150 years, been U-shaped (Figure 2),
exhibiting mortality peaks in the very young and the very
old, with a comparatively low frequency of deaths at all
ages in between",True,Covid
